epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.8941,0.9434,0.4126,0.1559
2.0,0.9773,0.9748,0.0877,0.0493
3.0,0.9962,1.0,0.0242,0.0129
4.0,1.0,1.0,0.0059,0.006
5.0,1.0,1.0,0.0019,0.0011
6.0,1.0,1.0,0.0005,0.0003
7.0,1.0,1.0,0.0001,0.0001
8.0,1.0,1.0,0.0,0.0
9.0,1.0,1.0,0.0,0.0
10.0,1.0,1.0,0.0,0.0
11.0,1.0,1.0,0.0,0.0
12.0,1.0,1.0,0.0,0.0
13.0,1.0,1.0,0.0,0.0
14.0,1.0,1.0,0.0,0.0
15.0,1.0,1.0,0.0,0.0
16.0,1.0,1.0,0.0,0.0
17.0,1.0,1.0,0.0,0.0
18.0,1.0,1.0,0.0,0.0
19.0,1.0,1.0,0.0,0.0
20.0,1.0,1.0,0.0,0.0
21.0,1.0,1.0,0.0,0.0
22.0,1.0,1.0,0.0,0.0
23.0,1.0,1.0,0.0,0.0
24.0,1.0,1.0,0.0,0.0
25.0,1.0,1.0,0.0,0.0
